Grapheme,IPA
p,p
t,t
k,k
m,m
n,n
a,a
e,e
i,i
o,o
u,u
w,w
j,j
r,r
h,h
s,s
x,ʃ
y,ɨ
b,b
d,d
g,ɡ
',ʔ
nj,ɲ
