Grapheme,IPA,Comment
a,a,
y,j,
',ʔ,
u,u,
o,o,
e,e,
p,p,
ü,ɨ,
n,n,
m,m,
i,i,
r,r,
k,k,
w,w,
t,t,
s,s,
ö,ə,
z,z,
d,d,
g,ɡ,
ng,ŋ,
b,b,
j,d͡ʒ,
ch,t͡ʃ,
sh,ʃ,
