Grapheme,IPA,Right
p,p,
t,t,
k,k,
m,m,
n,n,
a,a,
e,e,
i,i,
o,o,
u,u,
w,w,
j,j,
r,r,
h,h,
s,s,
ɨ,ɨ,
tʃ,t͡ʃ,
b,b,
d,d,
g,ɡ,
l,l,
ŋ,ŋ,
ia,j a,
ie,j e,
