Grapheme,IPA,Comment
p,p,
t,t,
k,k,
m,m,
n,n,
a,a,
e,e,
i,i,
o,o,
u,u,
w,w,
r,r,
h,h,
s,s,
â,ə,
y,ɨ,
z,z,
x,ʃ,
b,b,
d,d,
g,ɡ,
l,l,
j,z,
',ʔ,
an,ã,
on,õ,
in,ĩ,
un,ũ,
en,ẽ,
