Grapheme,IPA
p,p
t,t
k,k
m,m
n,n
a,a
e,e
i,i
o,o
u,u
w,w
y,j
r,r
ï,ɨ
d,d
l,l
h,h
ng,ŋ
ch,t͡ʃ
b,b
g,ɡ
