Grapheme,IPA,Comment
a,a,
y,j,
ꞌ,ʔ,
u,u,
o,o,
e,e,
p,p,
ʉ,ɨ,
n,n,
m,m,
i,i,
r,r,
k,k,
w,w,
t,t,
s,s,
ɨ,ə,
