Grapheme,IPA
p,p
t,t
k,k
m,m
n,n
w,w
y,j
r,r
a,a
e,e
i,i
o,o
u,u
ï,ɨ
s,s
h,h
',ʔ
a:,aa
e:,ee
i:,ii
o:,oo
u:,uu
ï:,ɨɨ
ng,n
