Grapheme,IPA
a,a
e,e
i,i
o,o
u,u
p,p
t,t
k,k
w,w
m,m
n,n
r,r
s,s
ï,ɨ
',ʔ
j,j
:,ː
v,w
aa,aa
ee,ee
ii,ii
oo,oo
uu,uu
ïï,ɨɨ
