Grapheme,IPA,Comment
a,a,
e,e,
i,i,
o,o,
u,u,
y,j,
p,p,
t,t,
k,k,
w,w,
n,n,
r,r,
ï,ɨ,
m,m,
h,h,
tx,t͡ʃ,
',ʔ,
V:,VV,Undefined long vowel
V,V,Undefined vowel
s,s,Should be an allophone of tx?
aa,aa,
ee,ee,
ii,ii,
oo,oo,
uu,uu,
ïï,ɨɨ,
