Grapheme,IPA
a,a
e,e
i,i
o,o
u,u
p,p
t,t
k,k
w,w
m,m
n,n
r,r
s,s
ï,ɨ
',ʔ
y,j
e:,ee
h,h
u:,uu
a:,aa
ï:,ɨɨ
o:,oo
i:,ii
b,b
d,d
g,ɡ
v,w
ch,t͡ʃ
