Grapheme,IPA,Comment,Right
p,p,,
t,t,,
k,k,,
m,m,,
n,n,,
a,a,,
e,e,,
i,i,,
o,o,,
u,u,,
w,w,,
r,r,,
h,h,,
s,s,,
â,ə,,
y,ɨ,,
z,z,,
x,ʃ,,
b,b,,
d,d,,
g,ɡ,,
l,l,,
j,j,,
',ʔ,,
an,ã,,C
in,ĩ,,
en,ẽ,,
on,õ,,
un,ũ,,
