Grapheme,IPA,Comment
p,p,
t,t,
k,k,
m,m,
n,n,
a,a,
e,e,
i,i,
o,o,
u,u,
w,w,
r,r,
s,s,
y,j,
',ʔ,
c,t͡ʃ,
