Grapheme,IPA
a,a
o,o
i,i
e,e
ng,ŋ
g,ɣ
u,u
p,p
t,t
k,k
h,h
n,n
m,m
ü,ɨ
ts,t͡s
d,d
s,s
l,l
j,ɟ
nh,ɲ
o~,õ
e~,ẽ
u~,ũ
b,b
