Grapheme,IPA,Comment
p,p,
t,t,
k,k,
m,m,
n,n,
w,w,
r,r,
s,s,
y,j,
h,h,
',ʔ,
ch,t͡ʃ,
ng,ŋ,
a,a,
e,e,
i,i,
o,o,
u,u,
ë,ə,
ï,ɨ,
d,d,
b,b,
g,ɡ,
l,l,
