"Grapheme","IPA"
"p","p"
"t","t"
"k","k"
"m","m"
"n","n"
"a","a"
"e","e"
"i","i"
"o","o"
"u","u"
"w","w"
"r","r"
"ë","ə"
"ï","ɨ"
"y","j"
"N","N"
"C","C"
"V","V"
