Grapheme,IPA
ch,t͡ʃ
e,e
o,o
u,u
ü,ɨ
sh,ʃ
y,j
w,w
m,m
p,p
t,t
k,k
r,r
s,s
h,h
n,n
a,a
i,i
ee,ee
aa,aa
oo,oo
uu,uu
ii,ii
üü,ɨɨ
