Grapheme,IPA,Comment
a,a,
y,j,
',ʔ,
u,u,
o,o,
e,e,
p,p,
ü,ɨ,
n,n,
m,m,
i,i,
d,r,
k,k,
w,w,
t,t,
s,s,
ñ,ɲ,
ch,t͡ʃ,
ü,ɨ,
ö,ə,
j,h,
sh,ʃ,
