Grapheme,IPA,Comment
a,a,
y,j,
',ʔ,
u,u,
o,o,
e,e,
p,p,
ï,ɨ,
n,n,
m,m,
i,i,
r,r,
k,k,
w,w,
t,t,
s,s,
ë,ə,
