"Grapheme","IPA",
"a","a",
"e","e",
"i","i",
"o","o",
"u","u",
"ë","ə",
"j","j",
"p","p",
"t","t",
"k","k",
"w","w",
"n","n",
"r","r",
"h","h",
"c","t͡ʃ",
"ï","ɨ",
"m","m",
"s","s",
"V","V",
"C","C","Undefined consonant"
"'","ʔ",
"N","N","Undefined nasal"
"V:","VV","Undefined long vowel"
