Grapheme,IPA,
a,a,
e,e,
i,i,
o,o,
u,u,
y,j,
p,p,
t,t,
k,k,
w,w,
n,n,
r,r,
h,h,
c,t͡ʃ,
î,ɨ,
m,m,
ñ,ɲ,
s,s,
f,ɸ,
x,ʃ,
V,V,Undefined vowel
C,C,Undefined consonant
N,N,Undefined nasal
aa,aa,
ee,ee,
ii,ii,
oo,oo,
uu,uu,
îî,ɨɨ,
